"SHA-1","MD5","CRC32","FileName","FileSize","ProductCode","OpSystemCode","SpecialCode"
"000000206738748EDD92C4E3D2E823896700F849","392126E756571EBF112CB1C1CDEDF926","EBD105A0","I05002T2.PFB",98865,31639,"358",""
"0000002D9D62AEBE1E0E9DB6C4C4C7C16A163D2C","1D6EBB5A789ABD108FF578263E1F40F3","FFFFFFFF","_sfx_0024._p",4109,11063,"358",""
"0000004DA6391F7F5D2F7FCCF36CEBDA60C6EA02","0E53C14A3E48D94FF596A2824307B492","AA6A7B16","00br2026.gif",2226,8280,"358",""
"00000142988AFA836117B1B572FAE4713F200567","9B3702B0E788C6D62996392FE3C9786A","05E566DF","J0180794.JPG",32768,10463,"358",""
"0000017EB9461D1250584398B2FFE047786DF865","38E716001612E972F93B898FA2747461","4626E92B","string.txt",9304,17720,"358",""
"000001BCBC3B7C8C6E5FC59B686D3568132D218C","937ADE76A75712B7FF339403B4FCB5A6","2D69B8F9","x86_microsoft-windows-t..oyment-languagepack_31bf3856ad364e35_6.1.7600.16385_en-us_13144b00548df445.manifest",4821,12362,"358",""
"000001BE95FDD402928B146BB79F2E773EB1B93A","3DE03D4DF6F6CCE267D4C6FACA323A67","B20D6C2E","1115.19",1150,5483,"358",""
"000001E4975FA18878DF5C0989024327FBE1F4DF","AA1F522B2AA3EFDCD8D813DE3D1B2451","01BAC904","WOEnterpriseObjectSerializer.html",23947,13923,"358",""
"000002F2D7CB4D4B548ADC623F559683D6F59258","AABCA0896728846A9D5B841617EBE746","3E5823F3","dev.config",2800,311,"358",""
"0000034C9033333F8F58D9C7A64800F509962F3A","8E23576EF5AEF2D5457C8A24BF5F740A","77F624A0","pv-c24.htm",3192,1550,"358",""
"00000368B9CFE1B4CF9F3D38F3EFD82840BA280D","7531B15B7316E8135AC9A7C905B39778","ADF97D6D","10130000.xhp",2631,14896,"358",""
"000003A16A5A1C6CCDDBE548E85261422489A458","33CE4BE0CD93CFB8EA604E1C2449543E","BEBA443F","Makefile.in",7572,14092,"358",""
"0000046FD530A338D03422C7D0D16A9EE087ECD9","680CA0BCE1FC7BC4136ADF4E210869C5","277D6BD5","TokenTypes.class",2075,10380,"358",""
"00000472E2B96A6CD0CBE8614779C5C8197BB42D","8F5F940DC66A22EC64CC729341682E0E","7A533DE3","rfc454.txt.gz",21609,2855,"358",""
"0000049D44513E35E80A6074FFE79C36F0CBAB1A","3B5A55CB97078946DAA17A5200C274CC","2E3B7B07","kfile_drgeo.po",1338,12490,"358",""
"0000053DD188DB497821D216D9AA50DD0F1529BD","5AEC257B5EEB4AA386C28C52AE7EEC2B","E8C1285A","CMBIZ097.ccx",19818,1277,"358",""
"000005EE5E3F6961B78CE4549270DE5D05CBC0CB","8D025B6AE1994A40FCBB5AEC2EF273F9","5E8D7D42","WabIab.bor",4760,11041,"358",""
"0000061EA49A07A4F433E43C2B14C169B853ED3D","0B80DE828541BAF920DECEE8D41CA773","329F5235","wa.po",840,1223,"358",""
"00000639B5865D3FFE2C37DD84186A9C771CBBAA","6C957A25E38F1E149F88762C3355B1DF","54C8290B","!_Columns",4168,16270,"358",""
"00000661BFDEA94354ADC81909DF93F97F52056F","1F2C8FC6DD95E7E15ACA5569B7E4C146","F71FB716","frexp.3c.html",8067,16622,"358",""
"000006B443A930EB311792B304422FFFF8941D0F","38A109433AF73B55EB293C3272D29D59","0976BE9D","neqtadec.ax.cab",18900,10291,"358",""
"000006CB753B24959F9A421FEF48E5233970A198","4014D16CBB7044DB549FE13F852EE8BF","ABAA0E3C","WM09947.MFT",33162,10667,"358",""
"000006F5B59A85CC6133E6F8801A715E466778A5","F9A6430EAAB2A665DFED8EB2350D81E1","AA288908","IMKI003P.PNG",31306,7118,"358",""
"000007A1255E11E87B40E4877E5865B0A30C3849","B7A367DEFB8802FF4FF357FED346AE6F","D3203AD4","test_frozen.pyc",840,5882,"358",""
"000007FE7ECCF2E5716945B369A95AD7A1257139","6C0855640D6E565E13E17295A61A86ED","AAE151D8","Repository",42,5118,"358",""
"00000802459E467BCEA6AE2E447D570785CD84E1","8DFD90838375D367A11C9064092A6807","409D0B8D",".text",33792,163441,"358",""
"0000085FC602CD8AD4793A874A47D286DACB0F6A","8BA8BC04896C421A704282E9B87B5520","8D89A85D","fpSDtFindLink.gif",1161,10386,"358",""
"000008F5118A9A591A5CFDAAD825F1B2A1266466","BFDD76C4DD6F8C0C2474215AD5E193CF","DE46BD18","_e22200bb5bb73a9ec73c03ade89948b7",11391,6983,"358",""